transaction_id,customer_id,product_id,revenue,order_value,timestamp
TXN001,CUST001,PROD001,1250.50,1250.50,2024-01-15 10:30:00
TXN002,CUST002,PROD002,850.25,850.25,2024-01-15 11:45:00
TXN003,CUST001,PROD003,2100.00,2100.00,2024-01-15 12:15:00
TXN004,CUST003,PROD001,1250.50,1250.50,2024-01-15 13:20:00
TXN005,CUST004,PROD004,3500.75,3500.75,2024-01-15 14:30:00
TXN006,CUST002,PROD002,850.25,850.25,2024-01-16 09:15:00
TXN007,CUST005,PROD005,450.00,450.00,2024-01-16 10:20:00
TXN008,CUST001,PROD001,1250.50,1250.50,2024-01-16 11:30:00
TXN009,CUST006,PROD003,2100.00,2100.00,2024-01-16 12:45:00
TXN010,CUST003,PROD004,3500.75,3500.75,2024-01-16 14:00:00
TXN011,CUST007,PROD002,850.25,850.25,2024-01-17 09:30:00
TXN012,CUST004,PROD005,450.00,450.00,2024-01-17 10:15:00
TXN013,CUST008,PROD001,1250.50,1250.50,2024-01-17 11:20:00
TXN014,CUST002,PROD003,2100.00,2100.00,2024-01-17 13:30:00
TXN015,CUST009,PROD004,3500.75,3500.75,2024-01-17 14:45:00
TXN016,CUST005,PROD002,850.25,850.25,2024-01-18 10:00:00
TXN017,CUST001,PROD005,450.00,450.00,2024-01-18 11:15:00
TXN018,CUST010,PROD001,1250.50,1250.50,2024-01-18 12:30:00
TXN019,CUST006,PROD003,2100.00,2100.00,2024-01-18 13:45:00
TXN020,CUST003,PROD004,3500.75,3500.75,2024-01-18 15:00:00
